"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
384;393;152747;4,09;1591,11;419;162185;4,36;1689,43
385;391;153138;4,07;1595,19;416;162601;4,33;1693,76
386;393;153531;4,09;1599,28;414;163015;4,31;1698,07
387;391;153922;4,07;1603,35;419;163434;4,36;1702,44
388;393;154315;4,09;1607,45;414;163848;4,31;1706,75
389;394;154709;4,10;1611,55;420;164268;4,38;1711,13
390;394;155103;4,10;1615,66;417;164685;4,34;1715,47
391;392;155495;4,08;1619,74;415;165100;4,32;1719,79
392;393;155888;4,09;1623,83;418;165518;4,35;1724,15
393;393;156281;4,09;1627,93;422;165940;4,40;1728,54
394;393;156674;4,09;1632,02;419;166359;4,36;1732,91
395;390;157064;4,06;1636,08;416;166775;4,33;1737,24
396;392;157456;4,08;1640,17;454;167229;4,73;1741,97
397;392;157848;4,08;1644,25;419;167648;4,36;1746,33
398;442;158290;4,60;1648,85;416;168064;4,33;1750,67
399;397;158687;4,14;1652,99;417;168481;4,34;1755,01
400;396;159083;4,13;1657,11;421;168902;4,39;1759,40
401;395;159478;4,11;1661,23;413;169315;4,30;1763,70
402;393;159871;4,09;1665,32;418;169733;4,35;1768,05
403;393;160264;4,09;1669,42;418;170151;4,35;1772,41
404;393;160657;4,09;1673,51;418;170569;4,35;1776,76
405;393;161050;4,09;1677,60;416;170985;4,33;1781,09
406;394;161444;4,10;1681,71;417;171402;4,34;1785,44
407;394;161838;4,10;1685,81;417;171819;4,34;1789,78
408;395;162233;4,11;1689,93;416;172235;4,33;1794,11
409;396;162629;4,13;1694,05;416;172651;4,33;1798,45
410;394;163023;4,10;1698,16;419;173070;4,36;1802,81
411;396;163419;4,13;1702,28;418;173488;4,35;1807,17
412;393;163812;4,09;1706,38;420;173908;4,38;1811,54
413;393;164205;4,09;1710,47;418;174326;4,35;1815,90
414;396;164601;4,13;1714,59;419;174745;4,36;1820,26
415;395;164996;4,11;1718,71;422;175167;4,40;1824,66
416;394;165390;4,10;1722,81;418;175585;4,35;1829,01
417;391;165781;4,07;1726,89;418;176003;4,35;1833,36
418;395;166176;4,11;1731,00;420;176423;4,38;1837,74
419;392;166568;4,08;1735,08;419;176842;4,36;1842,10
420;389;166957;4,05;1739,14;416;177258;4,33;1846,44
421;393;167350;4,09;1743,23;412;177670;4,29;1850,73
422;392;167742;4,08;1747,31;417;178087;4,34;1855,07
423;393;168135;4,09;1751,41;416;178503;4,33;1859,41
424;396;168531;4,13;1755,53;415;178918;4,32;1863,73
425;394;168925;4,10;1759,64;416;179334;4,33;1868,06
426;393;169318;4,09;1763,73;416;179750;4,33;1872,40
427;393;169711;4,09;1767,82;416;180166;4,33;1876,73
428;396;170107;4,13;1771,95;419;180585;4,36;1881,09
429;393;170500;4,09;1776,04;458;181043;4,77;1885,86
430;394;170894;4,10;1780,15;419;181462;4,36;1890,23
431;397;171291;4,14;1784,28;420;181882;4,38;1894,60
432;394;171685;4,10;1788,39;423;182305;4,41;1899,01
433;390;172075;4,06;1792,45;424;182729;4,42;1903,43
434;395;172470;4,11;1796,56;419;183148;4,36;1907,79
435;394;172864;4,10;1800,67;420;183568;4,38;1912,17
436;395;173259;4,11;1804,78;419;183987;4,36;1916,53
437;394;173653;4,10;1808,89;421;184408;4,39;1920,92
438;394;174047;4,10;1812,99;416;184824;4,33;1925,25
439;394;174441;4,10;1817,09;416;185240;4,33;1929,58
440;395;174836;4,11;1821,21;418;185658;4,35;1933,94
441;391;175227;4,07;1825,28;419;186077;4,36;1938,30
442;394;175621;4,10;1829,39;416;186493;4,33;1942,64
443;392;176013;4,08;1833,47;414;186907;4,31;1946,95
444;393;176406;4,09;1837,56;419;187326;4,36;1951,31
