2024-04-24 18:20:26.244720777+01:00 - BEGIN INSTALLING MUTANT APK DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:20:26.484751956+01:00 - END INSTALLING MUTANT APK DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:24:37.520311209+01:00 - END RUNNING MUTANT DataBackupIntentService_6_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:24:37.530087306+01:00 - BEGIN RUNNING MUTANT DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:24:37.537845769+01:00 - BEGIN BUILDING MUTANT APK DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:24:40.783522120+01:00 - END BUILDING MUTANT APK DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:24:40.784543279+01:00 - BEGIN INSTALLING MUTANT APK DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:24:41.020864596+01:00 - END INSTALLING MUTANT APK DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:28:51.454161629+01:00 - END RUNNING MUTANT DataBackupIntentService_7_RandomActionIntentDefinitionOperatorMutator
2024-04-24 18:28:51.466921051+01:00 - BEGIN RUNNING MUTANT DbHelper_0_BinaryMutator
2024-04-24 18:28:51.474174691+01:00 - BEGIN BUILDING MUTANT APK DbHelper_0_BinaryMutator
2024-04-24 18:28:57.455670199+01:00 - END BUILDING MUTANT APK DbHelper_0_BinaryMutator
2024-04-24 18:28:57.456755678+01:00 - BEGIN INSTALLING MUTANT APK DbHelper_0_BinaryMutator
2024-04-24 18:28:57.712883315+01:00 - END INSTALLING MUTANT APK DbHelper_0_BinaryMutator
2024-04-24 18:33:07.065078339+01:00 - END RUNNING MUTANT DbHelper_0_BinaryMutator
2024-04-24 18:33:07.081453336+01:00 - BEGIN RUNNING MUTANT DbHelper_1_BinaryMutator
2024-04-24 18:33:07.088886874+01:00 - BEGIN BUILDING MUTANT APK DbHelper_1_BinaryMutator
2024-04-24 18:33:12.513102826+01:00 - END BUILDING MUTANT APK DbHelper_1_BinaryMutator
2024-04-24 18:33:12.514127418+01:00 - BEGIN INSTALLING MUTANT APK DbHelper_1_BinaryMutator
2024-04-24 18:33:12.763380764+01:00 - END INSTALLING MUTANT APK DbHelper_1_BinaryMutator
2024-04-24 18:37:27.989385585+01:00 - END RUNNING MUTANT DbHelper_1_BinaryMutator
2024-04-24 18:37:28.003806586+01:00 - BEGIN RUNNING MUTANT DbHelper_2_BinaryMutator
2024-04-24 18:37:28.011438130+01:00 - BEGIN BUILDING MUTANT APK DbHelper_2_BinaryMutator
2024-04-24 18:37:33.799547463+01:00 - END BUILDING MUTANT APK DbHelper_2_BinaryMutator
2024-04-24 18:37:33.800734433+01:00 - BEGIN INSTALLING MUTANT APK DbHelper_2_BinaryMutator
2024-04-24 18:37:34.060940581+01:00 - END INSTALLING MUTANT APK DbHelper_2_BinaryMutator
2024-04-24 18:41:45.774692003+01:00 - END RUNNING MUTANT DbHelper_2_BinaryMutator
2024-04-24 18:41:45.789905441+01:00 - BEGIN RUNNING MUTANT NotificationListener_0_LengthyGUICreationOperatorMutator
2024-04-24 18:41:45.797603972+01:00 - BEGIN BUILDING MUTANT APK NotificationListener_0_LengthyGUICreationOperatorMutator
