2024-03-16 11:33:18.841884957+00:00 - START TIME
2024-03-16 11:59:23.073443938+00:00 - BEGIN INSTALLING MUTANT APK AbstractProgressiveService_5_RandomActionIntentDefinitionOperatorMutator
2024-03-16 11:59:23.347816051+00:00 - END INSTALLING MUTANT APK AbstractProgressiveService_5_RandomActionIntentDefinitionOperatorMutator
2024-03-16 12:00:03.951874713+00:00 - END RUNNING MUTANT AbstractProgressiveService_5_RandomActionIntentDefinitionOperatorMutator
2024-03-16 12:00:03.955982639+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_6_NullValueIntentPutExtraOperatorMutator
2024-03-16 12:00:03.963372347+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_6_NullValueIntentPutExtraOperatorMutator
2024-03-16 12:00:07.391870005+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_6_NullValueIntentPutExtraOperatorMutator
2024-03-16 12:00:07.392825397+00:00 - BEGIN INSTALLING MUTANT APK AbstractProgressiveService_6_NullValueIntentPutExtraOperatorMutator
2024-03-16 12:00:07.674603321+00:00 - END INSTALLING MUTANT APK AbstractProgressiveService_6_NullValueIntentPutExtraOperatorMutator
2024-03-16 12:00:47.946182667+00:00 - END RUNNING MUTANT AbstractProgressiveService_6_NullValueIntentPutExtraOperatorMutator
2024-03-16 12:00:47.949772543+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_7_IntentPayloadReplacementOperatorMutator
2024-03-16 12:00:47.956680442+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_7_IntentPayloadReplacementOperatorMutator
2024-03-16 12:00:51.474078935+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_7_IntentPayloadReplacementOperatorMutator
2024-03-16 12:00:51.474899810+00:00 - BEGIN INSTALLING MUTANT APK AbstractProgressiveService_7_IntentPayloadReplacementOperatorMutator
2024-03-16 12:00:51.750569113+00:00 - END INSTALLING MUTANT APK AbstractProgressiveService_7_IntentPayloadReplacementOperatorMutator
2024-03-16 12:01:32.034424886+00:00 - END RUNNING MUTANT AbstractProgressiveService_7_IntentPayloadReplacementOperatorMutator
2024-03-16 12:01:32.038576718+00:00 - BEGIN RUNNING MUTANT AbstractProgressiveService_8_RandomActionIntentDefinitionOperatorMutator
2024-03-16 12:01:32.045728227+00:00 - BEGIN BUILDING MUTANT APK AbstractProgressiveService_8_RandomActionIntentDefinitionOperatorMutator
2024-03-16 12:01:35.601978095+00:00 - END BUILDING MUTANT APK AbstractProgressiveService_8_RandomActionIntentDefinitionOperatorMutator
